Stroke Number,Time (secs),Distance (meters),Stroke Rate (s/m),500m Split (secs),Power (Watts),Heart Rate (bpm),Peak Force (Newtons),Average Drive Force (Newtons),Drive Length (meters),Drive Time (secs),% of Stroke Complete When Peak Force Is Reached,Impulse (Average force x Time) (N•s),Work Per Stroke (Joules),Stroke Speeed (m/s),Force Curve Data Points (Newtons)
45,110,443,25,123,190,0,551.29,369.20,1.36,0.73,41.03, 269.52,457,1.86,97.861 97.861 186.825 262.445 315.824 315.824 302.479 311.375 351.409 351.409 431.477 449.27 480.408 422.581 422.581 453.718 515.994 520.442 524.89 520.442 542.683 542.683 542.683 529.338 498.201 471.511 458.167 480.408 489.304 444.822 418.133 360.306 364.754 311.375 333.617 302.479 266.893 209.066 164.584 151.239 120.102 
46,113,452,25,123,190,0,555.77,360.31,1.39,0.75,48.78, 270.23,459,1.85,93.413 93.413 195.722 293.583 306.927 306.927 311.375 351.409 422.581 422.581 435.926 440.374 502.649 493.752 493.752 515.994 502.649 493.752 551.579 538.235 551.579 551.579 511.545 493.752 484.856 475.96 449.27 418.133 386.995 364.754 351.409 355.858 346.961 306.927 266.893 249.1 217.963 191.273 204.618 186.825 88.964 66.723 
47,115,462,25,123,184,0,515.43,346.96,1.33,0.73,42.86, 253.28,438,1.82,111.206 146.791 146.791 222.411 284.686 298.031 298.031 342.513 373.65 404.788 404.788 444.822 453.718 467.063 435.926 440.374 493.752 511.545 511.545 471.511 467.063 467.063 467.063 498.201 475.96 467.063 435.926 400.34 386.995 369.202 373.65 324.72 298.031 253.549 257.997 244.652 240.204 204.618 177.929 128.998 
48,118,472,24,125,179,0,537.84,364.75,1.36,0.74,42.50, 269.92,443,1.84,133.447 133.447 231.307 302.479 333.617 333.617 333.617 355.858 378.099 418.133 449.27 462.615 471.511 484.856 484.856 458.167 493.752 524.89 533.786 533.786 533.786 511.545 493.752 480.408 427.029 431.477 413.684 413.684 400.34 404.788 378.099 373.65 311.375 266.893 298.031 257.997 257.997 213.515 204.618 160.136 128.998 111.206 
49,120,482,24,125,181,0,542.32,351.41,1.45,0.8,42.86, 281.13,450,1.81,111.206 209.066 209.066 240.204 266.893 284.686 284.686 329.168 378.099 369.202 369.202 418.133 440.374 453.718 444.822 444.822 449.27 489.304 538.235 538.235 538.235 520.442 489.304 502.649 489.304 475.96 484.856 458.167 453.718 453.718 431.477 418.133 333.617 311.375 324.72 315.824 298.031 249.1 231.307 204.618 195.722 160.136 160.136 120.102 53.379 
50,122,492,24,125,184,0,569.21,351.41,1.42,0.77,40.00, 270.59,445,1.84,106.757 106.757 155.688 235.756 289.134 289.134 311.375 360.306 395.892 395.892 422.581 484.856 498.201 489.304 489.304 475.96 511.545 564.924 556.028 542.683 542.683 520.442 511.545 507.097 480.408 440.374 440.374 409.236 418.133 418.133 391.443 369.202 329.168 302.479 311.375 257.997 244.652 204.618 173.481 173.481 155.688 97.861 62.275 
51,125,501,25,124,186,0,578.18,378.10,1.39,0.75,39.53, 283.57,448,1.85,142.343 204.618 204.618 257.997 298.031 333.617 333.617 391.443 449.27 484.856 533.786 533.786 524.89 511.545 542.683 556.028 573.82 573.82 547.131 533.786 542.683 542.683 542.683 524.89 449.27 449.27 440.374 458.167 440.374 413.684 382.547 351.409 298.031 302.479 280.238 231.307 177.929 186.825 164.584 142.343 62.275 
52,127,511,25,124,188,0,546.80,373.65,1.30,0.7000000000000001,39.02, 261.56,448,1.86,160.136 235.756 235.756 280.238 271.341 298.031 298.031 369.202 471.511 453.718 453.718 480.408 493.752 542.683 520.442 498.201 515.994 533.786 542.683 542.683 507.097 507.097 515.994 511.545 471.511 444.822 395.892 395.892 400.34 386.995 338.065 311.375 244.652 222.411 209.066 182.377 137.895 124.55 88.964 
53,130,521,25,123,183,0,537.84,351.41,1.42,0.77,33.33, 270.59,457,1.84,115.654 115.654 231.307 298.031 320.272 315.824 315.824 338.065 413.684 435.926 435.926 453.718 462.615 462.615 475.96 475.96 475.96 524.89 511.545 533.786 511.545 511.545 484.856 480.408 475.96 449.27 422.581 418.133 404.788 418.133 369.202 342.513 302.479 311.375 293.583 284.686 226.859 195.722 173.481 164.584 137.895 88.964 66.723 
54,132,531,24,124,185,0,546.80,364.75,1.39,0.75,44.19, 273.57,436,1.85,160.136 160.136 257.997 302.479 342.513 342.513 351.409 373.65 395.892 395.892 418.133 462.615 475.96 475.96 462.615 462.615 493.752 520.442 507.097 511.545 524.89 542.683 542.683 520.442 458.167 440.374 435.926 449.27 431.477 413.684 360.306 355.858 364.754 364.754 311.375 275.79 222.411 191.273 186.825 155.688 75.62 62.275 
55,134,540,25,124,187,0,510.95,346.96,1.36,0.74,50.00, 256.75,439,1.84,97.861 97.861 137.895 213.515 284.686 342.513 342.513 355.858 369.202 369.202 404.788 458.167 458.167 427.029 427.029 427.029 462.615 489.304 467.063 462.615 493.752 493.752 502.649 507.097 453.718 444.822 440.374 418.133 382.547 369.202 369.202 346.961 346.961 338.065 280.238 240.204 209.066 235.756 231.307 182.377 66.723 
56,137,550,25,123,189,0,636.44,449.27,1.33,0.7000000000000001,56.10, 314.49,444,1.90,186.825 186.825 311.375 382.547 435.926 435.926 409.236 453.718 582.717 582.717 582.717 573.82 556.028 569.372 596.061 569.372 569.372 573.82 618.303 618.303 631.647 604.958 582.717 587.165 573.82 538.235 502.649 449.27 458.167 400.34 413.684 364.754 298.031 315.824 284.686 235.756 235.756 169.032 137.895 88.964 
57,139,559,26,123,215,0,582.66,404.79,1.36,0.7000000000000001,50.00, 283.35,487,1.94,124.55 231.307 231.307 320.272 364.754 404.788 400.34 458.167 502.649 538.235 538.235 524.89 524.89 538.235 538.235 556.028 524.89 569.372 569.372 578.269 564.924 551.579 556.028 569.372 475.96 453.718 400.34 395.892 386.995 386.995 351.409 351.409 266.893 275.79 253.549 244.652 195.722 173.481 128.998 115.654 
58,141,569,26,118,216,0,631.96,431.48,1.30,0.66,47.50, 284.78,491,1.97,231.307 231.307 311.375 364.754 333.617 386.995 435.926 435.926 520.442 551.579 564.924 600.51 573.82 573.82 582.717 582.717 591.613 618.303 596.061 582.717 627.199 591.613 582.717 538.235 471.511 484.856 444.822 444.822 382.547 351.409 298.031 280.238 249.1 191.273 155.688 133.447 124.55 
59,144,579,27,117,221,0,600.59,400.34,1.33,0.68,54.05, 272.23,491,1.96,151.239 253.549 253.549 329.168 364.754 369.202 369.202 369.202 524.89 569.372 596.061 564.924 560.476 564.924 573.82 573.82 564.924 547.131 551.579 569.372 542.683 538.235 498.201 484.856 480.408 431.477 404.788 355.858 351.409 320.272 355.858 311.375 204.618 204.618 173.481 182.377 128.998 106.757 71.172 
60,146,588,27,117,214,0,587.14,387.00,1.33,0.6900000000000001,25.64, 267.03,481,1.93,115.654 115.654 204.618 280.238 306.927 329.168 329.168 364.754 462.615 493.752 511.545 511.545 524.89 507.097 515.994 538.235 556.028 573.82 582.717 582.717 564.924 542.683 520.442 493.752 507.097 489.304 435.926 418.133 378.099 382.547 342.513 302.479 275.79 253.549 222.411 164.584 164.584 111.206 84.516 
61,148,598,27,118,209,0,560.25,378.10,1.39,0.72,46.15, 272.23,473,1.93,133.447 226.859 226.859 306.927 346.961 369.202 355.858 355.858 453.718 484.856 471.511 453.718 453.718 427.029 435.926 484.856 524.89 511.545 524.89 529.338 529.338 556.028 515.994 507.097 484.856 471.511 458.167 435.926 413.684 382.547 369.202 351.409 311.375 289.134 257.997 213.515 213.515 200.17 182.377 133.447 
