	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0001230	8.73413	10.9337	10.9308	12.1709	11.6454	13.7699	12.9242	24.6527	15.5602	10.7466	13.0603	28.2474
FBgn0001233	599.508	516.411	699.1671	496.7247	379.63461	372.3243	963.118	887.1106	707.5137	497.9306	634.0623	711.6317
FBgn0001235	0.79621	0.674692	0.560281	0.6959191	0.2205756	0.461453	0.334394	1.791612	0.2995041	0.3264855	0.315843	0.505666
FBgn0001247	26.2807	24.1882	23.8353	25.1074	19.1782	22.8332	26.9162	26.8034	20.6715	22.4736	21.1293	24.0204
FBgn0001248	1045.76373	986.8312564	810.83662	935.55945	944.23682	981.615283	826.15659	905.107	924.06661	808.719684	751.184699	908.17332
FBgn0001250	12.906182	9.37534083	9.218497	10.441341	6.71989	11.67974	7.37013	15.254471	8.9316617	7.231634	4.64244	9.565479
FBgn0001253	0	0	0	0	0	0.012533683	0.011348087	0	0	0	0	0
FBgn0001254	0	0	0	0.0240663	0	0	0	0	0	0	0	0
FBgn0001255	0.445616	0.523709	0.35327	0.527496	0.647126	0.654722	0.148197	0.648316	0.659645	0.527765	0.442568	0.691627
FBgn0001256	0	0	0.08250282	0	0	0	0	0.06729184	0.06846675	0.037924897	0.06890452	0
FBgn0001257	48.77255	26.8381	35.04909	46.35145	26.169305	43.28865	34.12522	62.682455	39.67833	32.53359	32.10412	46.62052208
FBgn0001258	34.98761	37.51322	36.57317	29.66272	38.3602	29.759336	32.71408	36.282274	36.886695	27.033113	24.09158	35.033016
FBgn0001259	0.522388	0.687608	0.717831	0.723024	0.520193	0.639601	0.602262	0.630527	0.710282	0.672627	0.507286	0.648627
FBgn0001263	0.0475699	0.089450201	0.037712	0.242569001	0.236850001	0.209677002	0.0632808	0.0615185	0.093890301	0.156017	0.220475001	0.0805439
FBgn0001269	0.33848	0.136388	0.153335	0.105672	0.0802518	0.0710447	0.192973	0.312664	0.127251	0.0881052	0.0320157	0.191035
FBgn0001276	10.0084	7.10181	8.68289	9.69805	8.77541	7.90735	10.6762	8.05893	8.32399	8.8772	7.87696	9.05915
FBgn0001280	85.775	64.3588	86.15302	77.5309	69.7989	63.7622	89.0852	72.5736	79.10262	81.4954	97.4657	67.5042
FBgn0001281	0.269477	0.506723	0	0	0	0	0.179239	0.174247	0	0	0	0
FBgn0001285	5.831617	0.156501	0.395881	0.272825	0.13813	0.305706	0.22143	0.591975	0.43805	0.303294	0.220422	0.0469727
FBgn0001291	27.0696	22.25361	25.8462	27.35506	21.438907	24.614097	26.329112	28.34201	24.318175	23.926984	21.788579	25.22116
FBgn0001296	25.01748	22.77419	40.69819	25.38364	16.73191	18.43828	39.33945	26.14869	25.78226	19.80564	21.217371	21.71324
FBgn0001297	13.574755	9.203437	10.3876552	9.2508143	5.602463	10.00207	10.06691	19.17242	10.5125084	7.150271	5.10438	10.803451
FBgn0001301	3.7978	2.3627	4.4937	4.13606	1.709042	3.73384	5.5925	4.77702	3.59254	3.09158	2.2143	3.1885
FBgn0001308	28.5888	23.2295	27.4263	23.8805	19.8443	21.8138	33.3759	33.8021	25.762	19.8968	18.76	26.8973
FBgn0001311	0.075851282	0.1232314	0.133596	0.150710721	0.141623194	0.1100426	0.100902159	0.157395	0.074855077	0.089834439	0.075332493	0.107024078
FBgn0001313	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001316	16.2223409	12.08731052	23.89285825	14.780988	9.476601748	10.5965505	25.943716	21.165073	18.75553079	12.0191626	13.36894681	12.75340609
