	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0042185	134.99995	100.0000306	184	359.0005061	81.0001	171	181.0000276	224.99998	177.00004	309.999965	161.999976	145.00004
FBgn0042186	91	0	0	1	1	0	0	0	0	72	2	139
FBgn0042187	0	0	0	0	0	0	0	0	0	1	0	1
FBgn0042189	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0042198	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0042199	0	0	0	0	0	0	1	0	0	0	0	0
FBgn0042201	20	3	6	13	10	9	6	1	11	22	22	6
FBgn0042205	23	23	38	69	21	29	39	45	42	71	36	36
FBgn0042206	44	19	25	40	16	16	23	15	19	32.99999	10	33
FBgn0042207	3	0	2	3	1	2	2	6	5	8	3	0
FBgn0042213	79	54	78	149	50	85	122	84	98	180	84	105
FBgn0042627	25005.99	23935.98	24867.03	71224	24755.98	30400	33196.96	49207	29393.02	65883	31201.96	46506
FBgn0042630	4	0	1	3	0	0	1	3.2979	3	4	1	1
FBgn0042641	382.0994	361.1161	481.7357	1087.3606	382.5001	516.5998	644.922	644.6755	538.0874	1135.8712	564.9765	802.1474
FBgn0042693	1527.703171	1236.428389	1965.2316	4001.0233	1220.6065	2111.80176	2626.938574	3442.9995	2553.879043	3571.6262	1650.360145	2885.0069
FBgn0042696	51	30	36	84	4	56	33	136	53	54.99997345	30.9999929	53
FBgn0042710	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0042711	0	0	0	1	0	1	0	3	0	0	0	0
FBgn0042712	282	288	357	669	324	255	501.0001	429.0001	433	642	415	479.0001
FBgn0043001	29	20.00005	78.00002616	111	23	22	128	44	78	91	62	43
FBgn0043002	37	23	77	118	32	28	129	55	95	84	66	57
FBgn0043005	4	0	1	1	1	0	0	1	0	2	1	0
FBgn0043010	283.9997	270	427.0001	743	312.9997	326	556.0002	383.0005	471	708.0003	419.9996	440.0002
FBgn0043012	370	331	481	1059	389	511	665	518	551	975	508	652
FBgn0043025	1.0529246	1.0367708	1.0127651	3.0902121	0	1.000000257	2.075004	1.0372254	5.20633	0	0	2.054960276
