	HC25_FB_2_ZT10	HC25_FB_2_ZT12	HC25_FB_2_ZT14	HC25_FB_2_ZT16	HC25_FB_2_ZT18	HC25_FB_2_ZT2	HC25_FB_2_ZT20	HC25_FB_2_ZT22	HC25_FB_2_ZT24	HC25_FB_2_ZT4	HC25_FB_2_ZT6	HC25_FB_2_ZT8	HC25_FB_ZT10	HC25_FB_ZT12	HC25_FB_ZT14	HC25_FB_ZT16	HC25_FB_ZT18	HC25_FB_ZT2	HC25_FB_ZT20	HC25_FB_ZT22	HC25_FB_ZT24	HC25_FB_ZT4	HC25_FB_ZT6	HC25_FB_ZT8
FBgn0052512	17.975944	26.153681	33.50005	27.85640023	26.42473	24.533682	21.732486	23.126735	19.18116	24.62402	20.4277941	17.757	32.92085	49.75578	42.11982	42.467134	48.4721221	38.75413	30.39067073	32.48619016	44.87174	42.65792	30.5796854	28.7373
FBgn0052521	201.6202089	231.717419	173.0767216	206.586463	239.988907	221.341866	264.573062	199.82902	216.6084226	192.06184	202.405566	197.558144	199.1264432	205.4783137	176.0793079	169.2495431	191.28571	164.8533504	176.17776	235.47417	231.4633404	136.5854795	169.5066961	179.015154
FBgn0052523	0	0	0	0	0.144733	0.0666952	0	0	0	0	0.108723	0	0.389205	0	0	0	0	0	0	0	0	0	0	0
FBgn0052528	41.5163	41.00579	48.476204	40.04318	45.82776	45.36825	41.7810845	46.7544	42.6125	42.12356	44.67871	41.57811383	39.10294768	42.9964474	46.61290016	50.7502	43.11430305	58.84026668	42.17630011	40.59929	44.7578301	60.28070034	42.03633396	36.37253207
FBgn0052529	5.034637671	5.746898987	5.846794269	6.00735571	6.602748774	5.596801404	5.685808558	5.664126256	5.712390578	6.014631856	5.929382738	5.965495536	6.236087006	6.99283	6.499248002	5.722742	7.935925	5.695360693	6.360072	6.860483	8.156494815	6.721767621	6.59155157	4.3913769
FBgn0052532	0	0	0	0	0	0	0	0	0	0	0	0	0.0165071	0	0	0	0	0	0	0	0	0	0	0
FBgn0052533	4.29563	4.382144	7.41872	4.06858	4.60067	5.70462	4.099734	6.043295	5.51661	4.795606	5.50231	6.77791	3.19468	4.2714	3.12528	4.22746	2.57606	5.70806	2.82838	2.987449	5.399966	3.678123	2.72407	2.51999
FBgn0052536	14.4944	14.0348	11.0546	11.4311	11.6203	9.52514	10.0118	11.4654	7.79899	8.96873	10.5131	12.2443	7.09651	7.1875	6.55308	7.45036	7.20841	10.2648	4.51079	5.91289	5.2683	7.23116	7.6064	8.32949
FBgn0052537	7.91742	4.02786	8.10567	4.992434	5.32346	6.23266	4.81979	7.1176	4.73983	6.40611	5.579933	7.1698	4.5776	4.82938	3.96717	6.20714	4.214669	10.3654	4.07682	3.78203	5.13646	7.12205	4.1009	3.25495
FBgn0052544	2.62415	0.974608	1.7178109	1.63576	1.0403222	1.29007053	0.891102	0.677281	1.78975	1.47473	0.887299	1.384825	2.43154	1.9257	2.34084	2.20928	1.57398	3.842950003	2.57835	1.928	2.198027	5.44896	1.95849	2.018496735
FBgn0052547	0.180664	0.0931864	0.1641084	0.189542	0.458272	0.19534	0.249183	0.183817	0.27109	0.125911	0.2727461	0.1437784	0.292683	0.131447	0.285545	0.191473	0.222876	0.372518	0.343647	0.24438	0.404036	0.266597	0.257776	0.175711
FBgn0052548	0	0	0	0	0	0.0195068	0	0	0.0913056	0	0.0635977	0	0	0	0.150721	0	0	0	0	0	0	0	0	0
FBgn0052549	186.24539	217.6539504	191.044326	215.229508	211.372838	192.2901584	202.33493	183.806713	202.936102	191.484781	194.349432	204.64728	174.608302	167.935498	165.098015	122.657355	178.0273633	133.4618103	158.246741	185.32806	160.4719729	134.99906	147.244216	131.84302
FBgn0052551	0	0	0	1.06764	0	0	0	0	0	0	1.16344	0	0	0.592325	0	0.616295	0	0.839317	0	0	0	0	0	0
FBgn0052554	2.27165	3.29545	4.62523	3.35149	1.7827	3.09927	1.97169	3.75585	3.6704	2.96849	2.80005	3.47619	2.61485	3.16098	2.30812	6.38434	2.56159	5.79645	2.99145	4.53719	4.03436	4.81874	4.25414	4.26094
FBgn0052557	0	0.0421654	0	0	0	0.0238887	0.0840928	0	0	0	0	0	0.522767	0	0	0.0618847	0	0	0	0	0	0	0	0
FBgn0052563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052564	0.0702501	0.065223	0	0.16583	0	0.110856	0.0650389	0.071476	0.0864808	0.22032	0	0.1376	0.161727	0.920024	0	0.191451	0	0	0.18502	0.213808	0.166349	0	0.20047	0
FBgn0052568	0.162586	0.251586	0.188217	0.463706	0.149486	0.120549	0.121244	0.266488	0.0806078	0.27381	0.112293	0.0641279	0	0.0709765	0	0	0	0.121513	0.0862274	0.099644	0	0	0.186856	0
FBgn0052569	0.178338	0	0	0	0	0.093807	0.165109	0	0	0	0	0.174657	0	0	0.362403	0	0.247508	0	0	0.271388	0	0	0.254458	0
FBgn0052570	0	0	0.100683	0.124025	0	0	0	0	0	0	0.090103	0	0.0806377	0	0	0	0	0	0	0	0	0	0	0
FBgn0052571	0	0	0.14408	0.0887412	0.171646	0	0	0	0	0	0.0644696	0	0.115394	0.098467	0	0	0	0	0	0.228831	0	0	0.107278	0
FBgn0052572	0.171768	0.238438	0.289349	0.100721	0.194006	0.192464	0.160011	0.218087	0.266449	0.134032	0.147284	0	0.0985398	0.280248	0.346998	0.23221	0.238489	0.395948	0.17365	0.194697	0.152485	0.192359	0.122622	0.268808
FBgn0052573	65.01433	60.00566	49.21779	61.01819	64.29195	49.83898	56.86564	51.03308	42.64654	54.73972	66.13868	61.01519	38.09102	37.25274	29.62842	29.55969	34.1395	30.20171	33.17697	39.68057	38.7711	24.40461	26.58328	40.59672
FBgn0052574	0.0759674	0.282125	0.0727882	0	0.0867147	0.0799187	0	0.231879	0	0	0.0651394	0.0743995	0	0	0	0	0	0	0	0	0.0899435	0	0	0.094995
FBgn0052576	29.34491	28.5224	25.65862	27.11218	27.43555	28.22602	26.33136	29.97727	28.19078	28.1511	27.49996	28.33706	45.2988	33.8515	32.0327	49.6729	45.8217	35.0315	51.546	45.8999	40.2714	50.0338	46.3915	46.3132
FBgn0052579	22.32696	15.29617	20.82353	19.18834	17.80344184	19.834746	16.29939	19.12420011	21.28292	18.8135	17.6259	22.43227	20.746	18.70979	18.14412358	23.7597	19.2041	27.39003	26.84265	22.0307	22.03615	46.22091025	28.75559	18.98142
FBgn0052580	0.00361571	0.00335697	0.00346439	0.0128027	0.00206361	0.00380377	0.00334749	0.0036788	0.00222554	0	0.00930103	0.00354108	0.00416198	0	0.00734753	0.00739036	0.00752713	0.00670983	0.0023807	0.00550224	0.00642136	0.00266777	0.0077385	0.00452133
FBgn0052581	0	0	0	0	0	0.0491979	0	0	0.224379	0.365734	0	0.189086	0	0	0	0	0	0	0	0	0	0	0	0.211658
